code, name
1767,Nanoscale Research-for PHY use only
1764,LOW TEMPERATURE PHYSICS
1765,CONDENSED MATTER & MAT THEORY
1142,CELLULAR BIOCHEMISTRY
1143,BIOCHEMISTRY
1140,MOLECULAR & GENETIC BIOSCIENCE
1141,PHYSIOLOG & STRUCTURAL SYS
1146,ANIMAL SYSTEMS PHYSIOLOGY
1147,ENDOCRINOLOGY
1144,Molecular Biophysics
1145,INTEGRATIVE PLANT BIOLOGY
138E,Stem cells/regenerative medicine
1148,ECOLOGICAL & EVOLUTIONARY PHYS
8621,
7320,ELEM SCHL RES PERS WKSHOP
K629,
T018,
5509,SOCIETAL RESPONSE TO NAT HAZDS
5506,LAW, SCIENCE & TECHNOLOGY
5507,PUBLIC POLICY
5504,RESOURCE SYSTEMS
5505,EXCAVATION TECHNOLOGY
5502,RENEWABLE RESOURCES
5503,NON-RENEWABLE RESOURCES
5500,NEURAL SYSTEMS CLUSTER
5501,RESOURCES
1546,SUMMER SCIENCE CAMPS
1547,COMP PART FOR MATH & SCI ACHIE
1544,RES ON GENDER IN SCI & ENGINE
1545,RES IN DISABILITIES ED
1542,GEOLOGY
1543,GEOPHYSICS
1540,OTHER SOLID EARTH SCIENCE
1541,GEOCHEMISTRY
7598,INTL IODP ACTIVITIES
1548,COMP REGIONAL CENTERS FOR MINO
1549,EXTRA-TERRESTRIAL MATERIALS
T767,
1781,NATIONAL MAGNET LABORATORY
Z206,
6400,DATA SYSTEMS
GRCH,HPCC GRAND CHALLENGES
8538,
1941,ANALYT SEPARATIONS & MEASUREMN
8028,Sensor Technology
154E,Computat systems & security
8022,Sustainable Infrastructure Materials
8023,Health Care Enterprise Systems
8020,Green Engineering
8021,Materials Engineering
8026,Renewable Energy Storage (RESTOR)
8027,Cyber Secur - Cyberinfrastruc
8024,Complex Systems
8025,Advanced Materials Processing
7441,LIT SEC TCHR TRAIN PROLPY
7440,CAREER ACCESS OPPOR IN S&T
7443,LIT SEC TCHR TRNG PRO LC
7442,LIT SEC TCHR TRNG PRO LSI
7445,CLEANER
7444,NATIONAL SMETE DIGITAL LIBRARY
7447,SENSORS SOLICITATION
7446,MATH PRIORITY SOLICITATION
7449,BHUTAN
7448,GABON
5610,ENVIRONMENTAL QUALITY
122P,RESPONSIBLE CONDUCT OF RES
6562,
7685,SMALL INSTRU PROG-2/4YR C
7684,STRATEGIC TECHNOLOGIES FOR CI
1388,INFRASRUCTURE COMPETITION
1389,CARBON CYCLE RESEARCH
7681,ENG NNI SPECIAL STUDIES
7680,Broadening Participation - ENG
1384,EDUCATION RESEARCH INITIATIVE
1385,SPECIAL STUDIES AND ANALYSES
1386,ENVIRONMENTAL STATISTICS
1387,DIGITAL GOVERNMENT PROGRAM
1380,SCIENCE POLICY RESEARCH
1381,OPPORTUNITY FUND, TCW
7689,ASSEMBLING THE TREE OF LIFE
7688,SCIENCE,TECH,ENG&MATH TEACHER
020F,ALMA -OPERATIONS & MAINTENANCE
098E,Antennas and Electromagnetics
029P,AAAS Workshops
045E,Adv Mats for Separation Process
098F,ATST Mitigation
5001,Haiti Earthquake
141P,NSF Eval & Assess
020E,TISSUE ENGINEERING
3040,
7569,CYBERINFRASTRUCTURE/SCIENCE
029E,INFRASTRUCTURE SYSTEMS MGT
3043,
4380,
00,DATA NOT AVAILABLE
K612,
7225,ALTERNATIVE DEGREES
K617,
5190,MAJOR CONSTRUCTION & PROCUREMN
9256,HPCC-RELATED AWARD
7539,REUNION
7538,REP. CONGO
8806,INFO & TECHNOLOGY SVCES PRGM
7535,WOMEN IN SCIENCE
7534,QATAR
7537,PHYSICAL. HANDICAP. IN SC
7536,MINORITIES IN SCIENCE
7531,MAURITIUS
7533,NIGER
7532,MYANMAR
052P,WKSHP FOR BROADER IMPACTS
1368,DDOP-MEDEA
7224,SENSOR SOLICIATATION
9158,ACCESS PROTOTYPE
052F,NOAO
052E,MAT & PROC FOR CHEM SEPARATION
5271,ARCTIC OFFSHORE RES PROG
Y353,
085E,POLYMER & COMPOSITES PROCESSES
4755,1081 75-72 NTIS 75-12801
134E,EXPLOSIVES & THRTS EXP SMALL
5877,
1077,DDOP:LIFE & EARTH'S ENVIRONMEN
0456,
0455,
3216,
5376,INNOVATION & ORG SCIENCES(IOS)
007E,Biological Separation Processes
007F,EARTHSCOPE
1072,HIGH PERFORMANCE
3754,
5370,SMALL BUSINESS INNOVATION PROG
007P,BFE LoB
5131,INFORMATION SVCS(US ANTARC RES
5373,SMALL BUSINESS PHASE II
W544,
2200,
2201,
2203,
2205,
2206,
T478,
I245,
0670,
0675,
2046,
7228,DATA AND APPLICATIONS SECURITY
018P,FAADS and CFFR PROGRAMS
3582,
9506,
067E,DESIGN TOOLS
018E,REMEDIATION
T471,
X342,
I106,
I107,
I104,
7841,
7840,
4839,
6350,
4831,
4832,
4834,
3684,
6194,INDIA
027E,NANOMECHANICS
1980,PROGRAM SUPPORT
2514,
K592,
K591,
2510,
2512,
2734,
2735,
V509,
2731,
5298,LIFE IN THE COLD AND DARK
5299,EDUCATION
7185,BIOLOGICAL INFO RSRCH STARTER
5297,ICE SHEET DYNAMICS/STABILITY
5294,Antarctic Education
5295,IPY (GENERAL)
5292,ANTARCTIC INTEGRATED SYS SCI
5293,AON IMPLEMENTATION
9186,RESOURCE USE AND MANAGEMENT
9187,TOXIC SUBSTANCES/SOLID & HAZARDOUS WASTE
9184,BIOTECHNOLOGY - INFRASTRUCTURE
9185,STANDARD REF DATA PROJECT
9183,GENERAL FOUNDATIONS OF BIOTECHNOLOGY
9180,PUBLIC SCIENCE LITERACY EDUCATION
9181,BIOPROCESSING/BIOMOLECULAR MATERIALS
mx36,
9288,LOMA PRIETA EARTHQUAKE
9188,AIR QUALITY
9189,WATER RESOURCES/COASTAL & MARINE ENVIRON
7209,NEXT GEN CHEM & BIO SENSORS & SENSING SY
7208,DMS/NSE
1810,
9230,ROBOTICS RESEARCH
7203,QUANTUM INFORMATION SCIENCE
7202,NANO - CHEM
7201,NUCLEAR ASTROPHYSICS
7207,ENG DESIGN FOR UNCERTAINTY-RES TO SEPT11
7206,PREMISE
7205,BIOCOMPLEXITY IN THE ENVIRONMENT-PHYSICS
7204,DoE-NSF LABORATORY FELLOWSHIPS
6222,
4120,WATERWAY EXPERIMENT STATION
8635,
V437,
8145,
J148,
1609,NSF ASTRON & ASTROPHY PSTDC FE
1608,BIOCOMPLEXITY INCUBATION AWARDS
7335,WORKFORCE IN THE MATHEMAT SCI
7334,MATHEMATICAL BIOLOGY
7333,MATHEMATICAL SCIENCES RES INST
9297,NSF YOUNG INVESTIGATOR
9294,MATERIALS SYNTHS & PRCS/SINGLE
1978,PROJECTS
1600,OCEAN SECTION RESERVE
1603,POSTDOC RSCH FLLWSHP MICRO BIO
9299,COMB RESRCH-CURRC DEV IN TECH
1605,NEW TECHNOLOGIES FOR THE ENVIRONMENT
1604,SCALABLE ENTERPRISE SYSTEMS
1607,EXPLOR RESRCH ON ENGINEER THE TRANS INDU
1606,BIOPHOTONICS PARTNERSHIP INITIATIVE
1555,EXPERIMENTAL & THEORETICAL GEO
7636,NESCENT
T372,
T370,
V863,
5330,PUBLIC POLICY AND SERVICE
7168,MINORITY GRADUATE FELLOW-FY-88
8855,DDOP: EFF
2845,COMP & COMPUTAT RES-SM BUS RES
2842,COMPUTERS AND SOCIETY
2843,COORDINATED EXPERIMENTAL RESEA
2840,SPECIAL PROJECTS (CDA FRONT OF
2841,SPECIAL PROJECTS& STUDIES
7637,NANTOXICOLOGY
155E,Electric power networks
V238,
T975,
1259,STATISTICS & PROBABILITY
1775,ELECTRONIC/PHOTONIC MATERIALS
1774,CERAMICS
1777,MSP-TEACHER INSTITUTES
1771,METAL & METALLIC NANOSTRUCTURE
1770,METALLURGY,POLYMERS&CERAMS-RES
1773,POLYMERS
1772,CERAMICS & ELECTRONIC MATERIAL
7050,NSB COMM ON PRE-COLL M,ST
1779,MAT, U.S./U.S.S.R. ACTIVI
T571,
9287,MANAGEMENT TECHNOLOGY INITIATI
X467,
115E,RESEARCH EXP FOR TEACHERS
177T,OTHER MISSION RELATED APPS
1159,POSTDOC RSCH FELLOW IN MOL EVO
1158,BIOMOLECULAR PROCESSES
1155,INTEGRATIVE ANIMAL BIOLOGY
1154,GENE EXPRESSION
1157,MINORITY POSTDOC RSRCH FLW-NEW
1156,MICROBIAL GENETICS
1151,BIOCHEMISTRY
1150,MOLECULAR BIOLOGY
8631,
1152,BIOPHYSICS
5519,FIRE RESEARCH
5518,EARTHQUAKE ENGINEERING
L147,
5511,ENERGY RESEARCH & TECH
5510,ADVANCED TECH. APPLICAT.
5513,INSTRUMENTATION TECHNOLOGY
5512,ENERGY CONVERSION
5515,INDUSTRIAL PROCESSING
5514,OPERATIONS RESEARCH
5516,EXCAVATION TECHNOLOGY
1551,STRATIGRAPHY & PALEONTOLOGY
1550,EARTH SCIENCES PROJECT SUPPORT
1553,CRUSTAL STRUCTURE & TECTONICS
1552,SURFICIAL GEOLOGY
3038,
3039,
1557,VOLCANOLOGY & MANTLE GEOCHEMIS
1556,PETROGENESIS & MINERAL RESOURC
1559,SPEC PROJTS-EARTH SCIENCES-RES
1558,EXPERIMEN & THEORETICAL GEOCHE
3037,
T885,
J369,
J368,
J200,
8700,Nanoelectronic Interdisc Teams
I331,
I235,
7343,BANGLADESH
8035,Hardware Devices
8034,Hardware Components
8037,Advanced Manufacturing
8036,Advanced Electronics
8031,Education Products
8030,Chemical Technology
8033,Hardware Software Integration
8032,Software Services and Applications
178T,IT SECURITY AND PRIVACY
8039,Information, Communication & Computing
8038,Biotechnology
051P,WEB CONTRACT
9999,PRE 78 CONVERTED PROGRAM
8528,
5600,INTER DECADE OF OCEAN EXPLORAT
3295,
051F,ATST - CONCEPT & DEVELOPMENT
051E,Interfacial trans & thermodynamic
8526,
3297,
H128,
6510,ECONOMICS OF INFORMATION
086E,MULTISCALE PROCESS MODELING
6516,
9637,
Z853,
Z218,
1900,CHEMISTRY - UNDISTRIBUTED
1399,MULTILINGUAL INFORMATION ACCESS & MGMT
1398,BIO INFOR POSTDOCT RSCH FELLOW
1397,CROSS-DIRECTORATE ACTIV PROGR
1395,SYSTEMATIC ANTHROPOLOGICAL COL
7349,PR FOR RES & EDU W/SM TELESCOP
1393,ARCHAEOMETRY
1392,Biological Anthropology
1391,ARCHAEOLOGY
1974,ANALYTICAL SEPARATIONS & MEAS.
3817,
139E,Macromolecule Markers
Y811,
8457,
9114,MARINE BIOTECHNOLOGY--AGRICULTURAL
I451,
139P,External Analysis of NSF FRI
K603,
3512,
7540,PRE-COLLEGE TEACHER DEVEL
7541,RWANDA
AMPP,ADVANCED MATERIALS & PROCESSING PROGRAM
W048,
7546,SUDAN
040E,Haz mitigation of structural sys
088E,THERMALLY DRIVEN PROCESSES
7266,ENHANCING HUMAN PERFORMANCE
2298,
3516,
064E,Convection heat and mass transfer
3515,
6162,ARAB REPUBLIC OF EGYPT(INT TRA
6165,PAKISTAN (INTERNATIONAL TRAVEL
6164,INDIA - INDIVIDUAL TRAVEL
3367,
6166,INTERNATIONAL PROGRAMS
1165,ADVANCES IN BIO INFORMATICS
4749,NOAA 1081 75-63 HEWA75028
4742,1081 75-6 ERDA GI43089
Y364,
W223,
024F,GENI CONCEPT/DEVELOPMENT
024E,MATERIALS DESIGN
5864,
4210,
046F,NRAO-OPERATIONS & MAINTENANCE
2971,
046E,Electrochem, Photochem & Fuel Cls
2181,
7230,PRE-COLLEGE MATRLS-ELEMEN
6565,
4603,
0646,
2212,
0645,
2217,
0640,
8056,Cyberlearning Resource Center
Y088,
2582,
0648,
9292,FACULTY AWARDS FOR WOMEN
7165,MINORITY GRAD FELLOWSHIPS-FY85
V753,
2430,
2435,
9293,RESRCH IN INTELL MAT HNDLG SYS
7831,
7832,
7833,
X727,
4513,
4510,
4511,
4514,
4207,
6185,PAKISTAN - GROUP TRAVEL
6184,INDIA-GROUP TRAVEL
4204,GEMINI OBSERVATORIES
2506,
2502,
X439,
2722,
5281,INNOV THRU INSTITUTNL INTEGRTN
008E,Gene and Drug Delivery
5283,POLAR POST DOC
5282,HUMAN ORIG: MOVING IN NEW DIR
5284,GK-12
5287,USCG - Antarctic
5286,BEST
7236,BIOPHOTONICS, IMAGING &SENSING
7945,DES AUTO FOR MICRO & NANO SYST
7946,BIO COMPUTING
7235,UNDERGROUND PHYSICS
7232,MATHEMATICAL GEOSCIENCES
7941,COMPUTER ARCHITECTURE
7942,HIGH-PERFORMANCE COMPUTING
7943,Programing Languages&Compilers
